"","id","studentID","groupID","v1label","v1value","v2label","v2value","v3label","v3value","numShapes","matchingScheme","requestedTime","timeUsed","timerDisplay","numErrors","shapesMatched","proximityValue","timestamp","TimeUsedSec","gender"
"719",1336,"19921208","MAT336","Gender","F","","","","","24","both","0",39798,"1",0,24,54,"2013-05-06 15:32:02",39.798,"0"
"720",1335,"liumouch
hwtzie","MAT336","Gender","M","","","","","24","both","0",41774,"1",0,24,54,"2013-05-06 15:31:26",41.774,"1"
"721",1334,"19921208","MAT336","Gender","F","","","","","24","diffColor","0",58462,"1",2,24,54,"2013-05-06 15:31:15",58.462,"0"
"722",1333,"123456","MAT336","Gender","F","","","","","24","shape","0",55315,"1",0,24,54,"2013-05-06 15:30:49",55.315,"0"
"723",1332,"liumouch
hwtzie","MAT336","Gender","M","","","","","24","optionColor","0",39100,"1",0,24,54,"2013-05-06 15:30:39",39.1,"1"
"724",1331,"19921208","MAT336","Gender","F","","","","","24","optionColor","0",42071,"1",1,24,54,"2013-05-06 15:30:08",42.071,"0"
"725",1330,"0515179","MAT336","Gender","F","","","","","24","shape","0",40826,"1",0,24,54,"2013-05-06 15:30:06",40.826,"0"
"726",1329,"liumouch
hwtzie","MAT336","Gender","M","","","","","24","diffColor","0",51433,"1",0,24,54,"2013-05-06 15:29:52",51.433,"1"
"727",1328,"108763","MAT336","Gender","M","","","","","24","both","0",44254,"1",0,24,54,"2013-05-06 15:29:49",44.254,"1"
"728",1327,"123456","MAT336","Gender","F","","","","","24","shape","0",55290,"1",0,24,54,"2013-05-06 15:29:48",55.29,"0"
"729",1326,"001122","MAT336","Gender","F","","","","","24","both","0",38446,"1",0,24,54,"2013-05-06 15:29:30",38.446,"0"
"730",1325,"520799","MAT336","Gender","M","","","","","24","both","0",30070,"1",0,24,54,"2013-05-06 15:29:20",30.07,"1"
"731",1324,"0515179","MAT336","Gender","F","","","","","24","both","0",39867,"1",0,24,54,"2013-05-06 15:29:14",39.867,"0"
"732",1323,"11111","MAT336","Gender","M","","","","","24","both","0",42882,"1",0,24,54,"2013-05-06 15:29:11",42.882,"1"
"733",1322,"tbatst","MAT336","Gender","M","","","","","24","optionColor","0",37114,"1",0,24,54,"2013-05-06 15:28:59",37.114,"1"
"734",1321,"urahrah","MAT336","Gender","M","","","","","24","shape","0",47610,"1",0,24,54,"2013-05-06 15:28:53",47.61,"1"
"735",1320,"11262590","MAT336","Gender","M","","","","","24","diffColor","0",57182,"1",0,24,54,"2013-05-06 15:28:51",57.182,"1"
"736",1319,"108763","MAT336","Gender","M","","","","","24","diffColor","0",56301,"1",0,24,54,"2013-05-06 15:28:49",56.301,"1"
"737",1318,"001122","MAT336","Gender","F","","","","","24","optionColor","0",44384,"1",2,24,54,"2013-05-06 15:28:46",44.384,"0"
"738",1317,"123456","MAT336","Gender","F","","","","","24","shape","0",63964,"1",3,24,54,"2013-05-06 15:28:44",63.964,"0"
"739",1316,"liumouch
hwtzie","MAT336","Gender","M","","","","","24","shape","0",60671,"1",2,24,54,"2013-05-06 15:28:41",60.671,"1"
"740",1315,"12x34y","MAT336","Gender","F","","","","","24","diffColor","0",51494,"1",0,24,54,"2013-05-06 15:28:39",51.494,"0"
"741",1314,"520799","MAT336","Gender","M","","","","","24","shape","0",45557,"1",2,24,54,"2013-05-06 15:28:36",45.557,"1"
"742",1313,"19921208","MAT336","Gender","F","","","","","24","shape","0",51614,"1",1,24,54,"2013-05-06 15:28:30",51.614,"0"
"743",1312,"0515179","MAT336","Gender","F","","","","","24","diffColor","0",67020,"1",6,24,54,"2013-05-06 15:28:26",67.02,"0"
"744",1311,"11111","MAT336","Gender","M","","","","","24","optionColor","0",58349,"1",1,24,54,"2013-05-06 15:28:18",58.349,"1"
"745",1310,"3463","MAT336","Gender","F","","","","","24","optionColor","0",37829,"1",1,24,54,"2013-05-06 15:28:17",37.829,"0"
"746",1309,"senioritis","MAT336","Gender","M","","","","","24","shape","0",54662,"1",2,24,54,"2013-05-06 15:28:13",54.662,"1"
"747",1308,"tbatst","MAT336","Gender","M","","","","","24","both","0",36265,"1",0,24,54,"2013-05-06 15:28:06",36.265,"1"
"748",1307,"winning","MAT336","GENDER","F","","","","","24","diffColor","0",51531,"1",4,24,54,"2013-05-06 15:27:58",51.531,"0"
"749",1306,"urahrah","MAT336","Gender","M","","","","","24","both","0",37143,"1",0,24,54,"2013-05-06 15:27:53",37.143,"1"
"750",1304,"11262590","MAT336","Gender","M","","","","","24","both","0",47326,"1",0,24,54,"2013-05-06 15:27:42",47.326,"1"
"751",1305,"12x34y","MAT336","Gender","F","","","","","24","optionColor","0",44287,"1",0,24,54,"2013-05-06 15:27:42",44.287,"0"
"752",1303,"001122","MAT336","Gender","F","","","","","24","shape","0",55080,"1",0,24,54,"2013-05-06 15:27:40",55.08,"0"
"753",1301,"520799","MAT336","Gender","M","","","","","24","optionColor","0",36345,"1",0,24,54,"2013-05-06 15:27:35",36.345,"1"
"754",1302,"108763","MAT336","Gender","M","","","","","24","shape","0",48590,"1",0,24,54,"2013-05-06 15:27:35",48.59,"1"
"755",1300,"123456","MAT336","Gender","F","","","","","24","shape","0",71318,"1",3,24,54,"2013-05-06 15:27:34",71.318,"0"
"756",1299,"3463","MAT336","Gender","F","","","","","24","shape","0",41590,"1",0,24,54,"2013-05-06 15:27:26",41.59,"0"
"757",1298,"tbatst","MAT336","Gender","M","","","","","24","shape","0",42947,"1",1,24,54,"2013-05-06 15:27:18",42.947,"1"
"758",1297,"senioritis","MAT336","Gender","M","","","","","24","both","0",48869,"1",0,24,54,"2013-05-06 15:27:10",48.869,"1"
"759",1296,"winning","MAT336","GENDER","F","","","","","24","optionColor","0",36609,"1",0,24,54,"2013-05-06 15:27:03",36.609,"0"
"760",1295,"urahrah","MAT336","Gender","M","","","","","24","diffColor","0",63517,"1",2,24,54,"2013-05-06 15:27:02",63.517,"1"
"761",1294,"11111","MAT336","Gender","M","","","","","24","diffColor","0",52645,"1",2,24,54,"2013-05-06 15:26:58",52.645,"1"
"762",1293,"DN","MAT336","Gender","M","","","","","24","both","0",33732,"1",0,24,54,"2013-05-06 15:26:57",33.732,"1"
"763",1292,"0515179","MAT336","Gender","F","","","","","24","optionColor","0",47684,"1",1,24,54,"2013-05-06 15:26:56",47.684,"0"
"764",1291,"12x34y","MAT336","Gender","F","","","","","24","shape","0",41495,"1",1,24,54,"2013-05-06 15:26:52",41.495,"0"
"765",1290,"11262590","MAT336","Gender","M","","","","","24","optionColor","0",49902,"1",0,24,54,"2013-05-06 15:26:46",49.902,"1"
"766",1289,"520799","MAT336","Gender","M","","","","","24","diffColor","0",54810,"1",4,24,54,"2013-05-06 15:26:36",54.81,"1"
"767",1288,"3463","MAT336","Gender","F","","","","","24","diffColor","0",48205,"1",2,24,54,"2013-05-06 15:26:32",48.205,"0"
"768",1287,"winning","MAT336","GENDER","F","","","","","24","shape","0",43435,"1",3,24,54,"2013-05-06 15:26:21",43.435,"0"
"769",1286,"108763","MAT336","Gender","M","","","","","24","optionColor","0",46087,"1",0,24,54,"2013-05-06 15:26:19",46.087,"1"
"770",1285,"senioritis","MAT336","Gender","M","","","","","24","optionColor","0",54192,"1",2,24,54,"2013-05-06 15:26:16",54.192,"1"
"771",1284,"001122","MAT336","Gender","F","","","","","24","diffColor","0",89502,"1",11,24,54,"2013-05-06 15:26:11",89.502,"0"
"772",1283,"DN","MAT336","Gender","M","","","","","24","shape","0",37579,"1",0,24,54,"2013-05-06 15:26:08",37.579,"1"
"773",1282,"tbatst","MAT336","Gender","M","","","","","24","diffColor","0",45667,"1",0,24,54,"2013-05-06 15:26:07",45.667,"1"
"774",1281,"12x34y","MAT336","Gender","F","","","","","24","both","0",36487,"1",0,24,54,"2013-05-06 15:25:52",36.487,"0"
"775",1280,"11111","MAT336","Gender","M","","","","","24","shape","0",59019,"1",2,24,54,"2013-05-06 15:25:49",59.019,"1"
"776",1279,"11262590","MAT336","Gender","M","","","","","24","shape","0",61750,"1",1,24,54,"2013-05-06 15:25:44",61.75,"1"
"777",1278,"urahrah","MAT336","Gender","M","","","","","24","optionColor","0",55404,"1",0,24,54,"2013-05-06 15:25:41",55.404,"1"
"778",1277,"3463","MAT336","Gender","F","","","","","24","both","0",36660,"1",0,24,54,"2013-05-06 15:25:18",36.66,"0"
"779",1276,"DN","MAT336","Gender","M","","","","","24","diffColor","0",45489,"1",2,24,54,"2013-05-06 15:25:14",45.489,"1"
"780",1275,"winning","MAT336","GENDER","F","","","","","24","both","0",40891,"1",0,24,54,"2013-05-06 15:25:11",40.891,"0"
"781",1274,"senioritis","MAT336","Gender","M","","","","","24","diffColor","0",58733,"1",0,24,54,"2013-05-06 15:25:09",58.733,"1"
"782",1272,"DN","MAT336","Gender","M","","","","","24","optionColor","0",42091,"1",0,24,54,"2013-05-06 15:23:58",42.091,"1"
